label,dim1,dim2
wc0,-16.316198,31.46711
wc0,-31.540226,18.698666
wc0,-37.087814,25.457392
wc0,-33.564854,20.853264
wc0,-33.702656,29.507807
wc0,-23.091923,18.774076
wc0,-25.216862,19.399405
wc0,-32.592968,13.727243
wc0,-34.687576,24.11473
wc0,-30.509317,23.687609
wc0,-26.143902,12.250849
wc0,-17.374397,32.292316
wc0,-24.425535,28.536764
wc0,-32.994576,15.164757
wc0,-37.437393,21.227694
wc0,-28.988499,11.291303
wc0,-17.924822,10.287231
wc0,-31.929625,19.971918
wc0,-25.97943,26.646984
wc0,-20.325935,34.57391
wc0,-29.42576,23.146015
wc0,-30.987305,24.35725
wc0,-19.58303,29.39153
wc0,-28.53502,19.076427
wc0,-29.062258,20.50429
wc0,-13.671527,24.316246
wc0,-19.154547,20.192852
wc0,-20.337288,25.139896
wc0,-17.244055,22.553934
wc0,-16.70009,24.409132
wc0,-23.118816,34.952732
wc0,-11.971316,14.522724
wc0,-33.800007,22.48697
wc0,-14.596381,28.130651
wc0,-25.440037,19.839571
wc0,-29.81193,23.697924
wc0,-26.715313,23.659403
wc0,-31.607962,26.210735
wc0,-17.766142,35.819656
wc0,-21.67722,15.69114
wc0,-24.650331,14.460112
wc0,-34.49634,31.458952
wc0,-19.42082,25.549952
wc0,-28.262556,33.767246
wc0,-27.724184,14.102214
wc0,-23.110844,24.393995
wc0,-26.173464,21.114119
wc0,-5.1666875,-13.94226
wc0,-30.533363,24.634401
wc0,-19.673952,14.279215
wc0,-9.034193,1.0028204
wc0,-15.212672,28.340048
wc0,-20.503649,24.775143
wc0,-21.924452,27.604088
wc0,-18.411657,35.10969
wc0,-32.841034,34.09496
wc0,-27.497793,18.009172
wc0,-25.504047,18.967365
wc0,-32.93446,17.034939
wc0,-27.498848,17.335497
wc0,-26.595839,12.878785
wc0,-30.733793,17.103676
wc0,-29.451286,19.837622
wc0,-22.448092,25.384329
wc0,-23.88928,27.016802
wc0,-27.721464,20.767918
wc0,-23.617533,25.50387
wc0,-16.286312,34.60836
wc0,-20.889824,32.86768
wc0,-17.677038,28.326382
wc0,-19.440458,26.720442
wc0,-31.50236,26.88102
wc0,-23.198355,28.567783
wc0,-22.47047,22.655416
wc0,-21.24787,28.33093
wc0,-30.04919,15.174581
wc0,-17.963804,26.02477
wc0,-36.221806,19.079588
wc0,-24.876072,30.633347
wc0,-28.048033,17.055813
wc0,-15.270896,26.870255
wc0,-19.683004,19.997263
wc0,-23.189707,22.148277
wc0,-23.259064,36.03388
wc0,-35.743973,24.529848
wc0,-23.298445,13.173775
wc0,-17.632126,33.789505
wc0,-23.555197,30.077507
wc0,-36.46398,27.746683
wc0,-22.41429,21.136076
wc0,-15.71093,29.958223
wc0,-29.769936,28.649277
wc0,-30.395996,26.004131
wc0,-12.329224,26.611391
wc0,-18.45557,25.709597
wc0,-23.01779,33.543415
wc0,-25.848612,33.926914
wc0,-24.477356,20.357563
wc0,-20.079254,23.758621
wc0,-24.195337,18.89747
wc0,-24.718035,25.952274
wc0,-25.273901,28.960756
wc0,-29.434824,26.691595
wc0,-12.443517,24.536154
wc0,-17.318033,30.322338
wc0,-21.369146,30.807331
wc0,-36.583828,15.381196
wc0,-25.144411,28.062738
wc0,-34.92533,13.182647
wc0,-15.073392,30.229422
