label,dim1,dim2
wc0,-13.406314,-7.8541913
wc0,-21.620214,-16.949677
wc0,-7.096289,-8.87636
wc0,-7.0196333,-7.425222
wc0,-6.284482,-7.6472635
wc0,-23.230522,2.2370982
wc0,-29.649027,-7.9468794
wc0,-20.899368,-6.8282948
wc0,-20.390598,-5.0577393
wc0,-16.970549,-10.996582
wc0,-20.68732,0.39945695
wc0,-28.968874,-1.5118421
wc0,-10.662954,8.602279
wc0,-15.079277,-0.36843443
wc0,-14.580396,-1.7106881
wc0,9.715065,10.36334
wc0,-12.210297,-8.205354
wc0,0.19803266,-11.27874
wc0,6.2196736,-11.080382
wc0,-16.057354,6.227718
wc0,-9.841894,-0.86492336
wc0,-16.685738,-12.167059
wc0,-18.34814,-5.944634
wc0,-23.38322,-6.6222577
wc0,-14.768974,-4.9008827
wc0,-28.401266,0.56157726
wc0,-12.537183,-7.1381283
wc0,-13.252642,-9.232089
wc0,-19.287872,-9.602455
wc0,-11.70901,-10.599122
wc0,-6.6419983,-5.769941
wc0,-16.141823,-6.471098
wc0,-10.2604885,-2.8290234
wc0,-27.803652,-3.8434982
wc0,-22.11795,-14.904765
wc0,-9.449547,-3.0340822
wc0,-20.106554,6.5662017
wc0,-21.67866,-1.2235632
wc0,-24.175999,10.178033
wc0,-21.542616,-8.534383
wc0,-3.917219,-18.105053
wc0,6.1942587,-3.1652539
wc0,-18.50397,-3.910971
wc0,-20.016953,-6.5692167
wc0,-9.850783,6.149886
wc0,-16.757845,3.3365364
wc0,-17.11139,-10.375628
wc0,-17.049261,-4.065372
wc0,-25.09787,2.6683981
wc0,-16.676867,1.3751218
wc0,-15.835147,-12.99732
wc0,-13.802302,7.643761
wc0,-9.442057,-11.363626
wc0,-13.788743,-9.826997
wc0,-8.997576,-6.266288
wc0,-14.18266,-8.653887
wc0,-18.404842,-6.695665
wc0,-2.3486006,-8.662694
wc0,-13.562799,-7.827771
wc0,-15.283221,-4.0775027
wc0,-22.30305,2.0668652
wc0,-28.886133,-6.825491
wc0,-29.027096,-6.259395
